%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581017660733707164,3620,0,,0.1801,-0.092,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660757883083,3621,0,,0.1823,-0.0886,0.3676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660782865905,3622,0,,0.178,-0.0908,0.3724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660807791931,3623,0,,0.1802,-0.0897,0.3675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660832643960,3624,0,,0.1823,-0.0921,0.3676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660857810357,3625,0,,0.1802,-0.0874,0.3687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660882811695,3626,0,,0.1803,-0.0794,0.3697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660907748411,3627,0,,0.1802,-0.0863,0.3686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660932699173,3628,0,,0.1802,-0.0863,0.3699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660957616202,3629,0,,0.1813,-0.0841,0.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660983444215,3630,0,,0.1813,-0.0819,0.3562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661007319777,3631,0,,0.1791,-0.084,0.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661032295896,3632,0,,0.1824,-0.0852,0.3675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661057538774,3633,0,,0.1823,-0.0921,0.3602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661081997774,3634,0,,0.1823,-0.0876,0.3576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661107045887,3635,0,,0.1845,-0.0854,0.3577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661133152288,3636,0,,0.1813,-0.083,0.3549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661156951133,3637,0,,0.1823,-0.0863,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661183683788,3638,0,,0.1801,-0.091,0.3563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661208335938,3639,0,,0.1823,-0.0922,0.3552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661233570699,3640,0,,0.1813,-0.0853,0.3562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661257289518,3641,0,,0.1824,-0.0829,0.3724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661283232824,3642,0,,0.1823,-0.091,0.3639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661307812043,3643,0,,0.1813,-0.0863,0.3687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661333064020,3644,0,,0.1812,-0.0875,0.3637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661356938738,3645,0,,0.1823,-0.0909,0.3713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661382879634,3646,0,,0.1803,-0.0761,0.3659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661407656095,3647,0,,0.1802,-0.0841,0.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661433303904,3648,0,,0.1791,-0.0897,0.3662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661457654160,3649,0,,0.1802,-0.0886,0.3637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661482756769,3650,0,,0.1813,-0.083,0.3587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661507886693,3651,0,,0.1823,-0.0853,0.3575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661533217876,3652,0,,0.1824,-0.0772,0.3661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661557580093,3653,0,,0.1802,-0.0841,0.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661582602225,3654,0,,0.1823,-0.0922,0.3577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661607672295,3655,0,,0.1812,-0.0887,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661632635170,3656,0,,0.1824,-0.0762,0.3573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661657700977,3657,0,,0.1792,-0.0829,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661682273160,3658,0,,0.1801,-0.0921,0.3601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661707329524,3659,0,,0.1834,-0.0864,0.3626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661732865325,3660,0,,0.1813,-0.0807,0.3599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661757349736,3661,0,,0.1845,-0.082,0.3563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661783027814,3662,0,,0.1823,-0.0886,0.3676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661807708560,3663,0,,0.1823,-0.0853,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661832836360,3664,0,,0.1824,-0.0773,0.3611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661857523526,3665,0,,0.1834,-0.0888,0.3577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661882622208,3666,0,,0.1834,-0.0864,0.3701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661907736196,3667,0,,0.1823,-0.0898,0.3701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661933275421,3668,0,,0.1779,-0.0954,0.3662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661957716058,3669,0,,0.1823,-0.0887,0.3638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017661983063215,3670,0,,0.1802,-0.0897,0.3675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662007721703,3671,0,,0.1834,-0.0898,0.3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662031192448,3672,0,,0.1802,-0.0886,0.3699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662056146192,3673,0,,0.1812,-0.0909,0.3651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662082492437,3674,0,,0.1813,-0.0863,0.3712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
